"Month,Average Price"
"2022-01,1816.720476"
"2022-02,1860.0535"
"2022-03,1951.614348"
"2022-04,1937.039524"
"2022-05,1848.879545"
"2022-06,1837.091818"
"2022-07,1737.158095"
"2022-08,1763.102174"
"2022-09,1681.808182"
"2022-10,1666.38381"
"2022-11,1729.488182"
"2022-12,1797.922273"
"2023-01,1899.095455"
"2023-02,1854.0895"
"2023-03,1915.277826"
"2023-04,2002.416"
"2023-05,1991.960435"
"2023-06,1941.915909"
"2023-07,1949.613333"
"2023-08,1919.137826"
"2023-09,1913.886667"
"2023-10,1917.214545"
"2023-11,1986.460455"
"2023-12,2036.975714"
"2024-01,2034.332609"
"2024-02,2025.649048"
"2024-03,2164.7555"
"2024-04,2335.155"
"2024-05,2352.11087"
"2024-06,2327.873158"
"2024-07,2395.986087"
"2024-08,2413.302"
